sectionid{}uid{}datetime{}type{}sid
1003541{}347759{}20110701 000000{}d{}36169946
1009978{}352446{}20110701 015259{}d{}36272957
1009909{}352446{}20110701 015311{}d{}36272957
1006882{}350022{}20110701 015315{}d{}36194657
1010000{}352446{}20110701 015315{}d{}36272957
1010014{}352446{}20110701 015329{}d{}36272957
1006262{}349549{}20110701 015340{}d{}36184333
1009869{}352446{}20110701 015341{}d{}36272957
1010134{}352446{}20110701 015344{}d{}36272957
1010155{}352446{}20110701 015348{}d{}36272957
1009923{}352446{}20110701 015408{}d{}36272023
1010031{}352446{}20110701 015411{}d{}36272023
1006349{}349549{}20110701 015412{}d{}36184333
1004097{}348030{}20110701 015435{}d{}36151145
1002338{}346944{}20110701 015440{}v{}361538
1011124{}353481{}20110701 015457{}d{}36267953
1001077{}346061{}20110701 015521{}v{}361538
1006306{}349549{}20110701 015526{}d{}36184333
1010720{}353146{}20110701 015559{}d{}36253967
1009870{}352446{}20110701 015706{}d{}36272023
1006023{}349362{}20110701 015758{}d{}36155624
1003537{}347755{}20110701 015808{}d{}36169947
1000468{}345593{}20110701 015834{}v{}361
1007633{}350585{}20110701 015842{}d{}36184688
1000400{}345593{}20110701 015847{}v{}361
1003531{}347755{}20110701 015906{}d{}36169947
1005512{}348984{}20110701 015941{}d{}36151535
1010110{}352446{}20110701 015944{}d{}36272023
1006507{}349749{}20110701 020005{}d{}36194269
1009860{}352446{}20110701 020032{}d{}36272023
1006216{}349469{}20110701 020050{}d{}36184334
1000505{}345646{}20110701 020055{}v{}361
1006164{}349469{}20110701 020126{}d{}36184334
1006001{}349347{}20110701 020240{}d{}36156047
1008837{}346335{}20110701 020254{}d{}36270988
1000506{}345646{}20110701 020322{}v{}361
1008554{}351379{}20110701 020342{}v{}362513
1008874{}351609{}20110701 020415{}d{}36270987
1003295{}347589{}20110701 020425{}d{}36158672
1005614{}349058{}20110701 020439{}d{}36151536
1002060{}346762{}20110701 020445{}d{}36135017
1007954{}350866{}20110701 020549{}d{}36211696
1009168{}351865{}20110701 020602{}d{}36279427
1005549{}349015{}20110701 020619{}d{}36151535
1001078{}346062{}20110701 020623{}v{}361538
1010275{}352771{}20110701 020651{}d{}36298789
1005873{}349249{}20110701 020654{}d{}36139159
1011030{}353395{}20110701 020659{}d{}36221868
1005049{}348660{}20110701 020735{}d{}36177742
1006263{}349469{}20110701 020739{}d{}36184334
1009173{}351870{}20110701 020744{}d{}36279427
1009196{}351870{}20110701 020745{}d{}36279427
1005154{}348728{}20110701 020750{}d{}36174571
1006165{}349469{}20110701 020753{}d{}36184334
1002339{}346062{}20110701 020804{}v{}361538
1010091{}352627{}20110701 020854{}d{}36272957
1004549{}348305{}20110701 020902{}d{}36194240
1002340{}346945{}20110701 020914{}v{}361538
1001408{}346333{}20110701 020924{}v{}361538
1010425{}352899{}20110701 020933{}d{}36233222
1007442{}350454{}20110701 021002{}d{}36195779
1002341{}346946{}20110701 021024{}v{}361538
1010993{}353365{}20110701 021037{}d{}36254591
1009183{}351878{}20110701 021316{}d{}36279429
1007176{}350255{}20110701 021328{}d{}36184139
1007678{}350622{}20110701 021405{}v{}362691
1010435{}352909{}20110701 021524{}d{}36233221
1004781{}348459{}20110701 021528{}d{}36198098
1010538{}352995{}20110701 021539{}d{}36233220
1002061{}346763{}20110701 021601{}v{}361538
1011206{}353553{}20110701 021621{}d{}36227691
1005792{}349192{}20110701 021641{}d{}36183808
1005793{}349192{}20110701 021710{}d{}36183808
1005168{}348740{}20110701 021929{}d{}36174570
1006596{}349812{}20110701 021957{}d{}36186597
1006635{}349844{}20110701 022047{}d{}36186596
1006979{}350099{}20110701 022116{}d{}36194648
1001409{}346334{}20110701 022131{}v{}361538
1004596{}348337{}20110701 022139{}d{}36192456
1000754{}345808{}20110701 022204{}d{}36172758
1007857{}350783{}20110701 022206{}d{}36211694
1006119{}349427{}20110701 022326{}d{}36166019
1003307{}347599{}20110701 022350{}d{}36129217
1003306{}347599{}20110701 022352{}d{}36129217
1009435{}352089{}20110701 022412{}d{}36227896
1009977{}352541{}20110701 022412{}d{}36272968
1002924{}347312{}20110701 022415{}d{}36107285
1002062{}346334{}20110701 022436{}v{}361538
1000361{}345568{}20110701 022455{}v{}36109
1001740{}346334{}20110701 022505{}v{}361538
1007129{}350216{}20110701 022834{}d{}36184137
1007868{}350794{}20110701 023042{}d{}36211694
1010306{}350066{}20110701 023119{}d{}36233224
1010809{}353218{}20110701 023317{}d{}36218106
1010612{}353054{}20110701 023436{}d{}36233221
1010365{}351288{}20110701 023507{}d{}36233220
1000680{}345741{}20110701 023538{}d{}36191712
1002063{}346764{}20110701 023539{}v{}361538
1008900{}351652{}20110701 023608{}d{}36270989
1005841{}349232{}20110701 023614{}d{}36176375
1005145{}348719{}20110701 023627{}d{}36196281
1006835{}349985{}20110701 023820{}d{}36194657
1010474{}350066{}20110701 023909{}d{}36233220
1005097{}348691{}20110701 023950{}d{}36177742
1008724{}351514{}20110701 023953{}d{}36230994
1009045{}351758{}20110701 024039{}d{}36297064
1008436{}351288{}20110701 024053{}d{}36233232
1005695{}349115{}20110701 024227{}d{}36176470
1007558{}350534{}20110701 024324{}d{}36195779
1000507{}345647{}20110701 024411{}v{}361
1006156{}349462{}20110701 024517{}d{}36182712
1008518{}351349{}20110701 024521{}d{}36211701
1005423{}348912{}20110701 024551{}d{}36183700
1008292{}351162{}20110701 024653{}d{}36233244
1000822{}345862{}20110701 024755{}d{}36172758
1011036{}353401{}20110701 024836{}d{}36221869
1010047{}352594{}20110701 024922{}d{}36272959
1007048{}350148{}20110701 024945{}d{}36194643
1005343{}348857{}20110701 025044{}d{}36123040
1007177{}350256{}20110701 025112{}d{}36184137
1009639{}352256{}20110701 025117{}d{}36280292
1001410{}346335{}20110701 025126{}v{}361538
1009782{}352379{}20110701 025126{}d{}36208229
1006107{}349421{}20110701 025129{}d{}36132201
1009926{}352500{}20110701 025202{}d{}36272969
1000631{}345705{}20110701 025226{}d{}36162967
1006836{}349986{}20110701 025256{}d{}36194656
1000626{}345705{}20110701 025303{}d{}36162967
1008150{}351035{}20110701 025311{}d{}36235263
1008766{}351554{}20110701 025429{}d{}36297293
1006883{}349986{}20110701 025516{}d{}36194656
1007650{}350599{}20110701 025536{}v{}362866
1000627{}345705{}20110701 025613{}d{}36162967
1001079{}346063{}20110701 025726{}v{}361538
1006920{}350047{}20110701 025750{}d{}36194644
1009512{}352152{}20110701 025757{}d{}36280293
1007257{}350320{}20110701 025908{}d{}36184138
1006854{}349986{}20110701 025909{}d{}36194656
1001411{}346336{}20110701 025931{}v{}361538
1007178{}350257{}20110701 030006{}d{}36184137
1009252{}351934{}20110701 030022{}d{}36208191
1008794{}351576{}20110701 030025{}d{}36272975
1009137{}351835{}20110701 030053{}d{}36279429
1009147{}351844{}20110701 030101{}d{}36279427
1002064{}346765{}20110701 030213{}v{}361538
1008194{}351076{}20110701 030357{}d{}36215652
1000895{}345913{}20110701 030418{}d{}36132530
1007258{}350321{}20110701 030438{}d{}36184137
1000796{}345842{}20110701 030540{}d{}36172758
1006075{}349401{}20110701 030547{}d{}36123740
1000401{}345594{}20110701 030613{}v{}361
1009663{}352276{}20110701 030733{}d{}36280294
1006855{}350001{}20110701 030823{}d{}36194657
1003463{}347704{}20110701 030834{}d{}36197490
1005360{}348870{}20110701 030917{}d{}36123038
1006054{}349382{}20110701 030927{}d{}36123739
1007628{}350581{}20110701 030936{}d{}36184690
1001080{}346064{}20110701 031036{}v{}361538
1005907{}349274{}20110701 031047{}d{}36139160
1004958{}348600{}20110701 031114{}d{}36177742
1010032{}352583{}20110701 031302{}d{}36272959
1001081{}346065{}20110701 031414{}v{}361538
1008944{}351682{}20110701 031429{}d{}36270987
1005794{}349193{}20110701 031524{}d{}36183808
1010651{}353089{}20110701 031636{}d{}36222797
1009102{}351805{}20110701 032026{}d{}36279428
1011048{}353412{}20110701 032047{}d{}36232887
1006108{}349422{}20110701 032109{}d{}36151186
1009129{}351827{}20110701 032116{}d{}36279428
1006437{}349683{}20110701 032204{}d{}36194269
1003431{}347682{}20110701 032243{}d{}36133419
1010886{}353132{}20110701 032328{}d{}36207984
1008394{}351252{}20110701 032353{}d{}36233248
1001412{}346337{}20110701 032426{}v{}361538
1003420{}347673{}20110701 032432{}d{}36198106
1006508{}349750{}20110701 032448{}d{}36194269
1009281{}351958{}20110701 032655{}d{}36227755
1000434{}345614{}20110701 032726{}v{}361
1010355{}352838{}20110701 032729{}d{}36233222
1000539{}345614{}20110701 032731{}v{}361
1001413{}346066{}20110701 032900{}v{}361538
1001082{}346066{}20110701 032907{}v{}361538
1008945{}351683{}20110701 032918{}d{}36270988
1003558{}347776{}20110701 032958{}d{}36163784
1009001{}351719{}20110701 033206{}d{}36270987
1009310{}351983{}20110701 033242{}d{}36227896
1006486{}349730{}20110701 033403{}d{}36194268
1010973{}353350{}20110701 033425{}d{}36207982
1006939{}350064{}20110701 033453{}d{}36194632
1011207{}353554{}20110701 033538{}d{}36227690
1001083{}346067{}20110701 033540{}v{}361538
1006940{}350065{}20110701 033549{}d{}36194633
1006166{}349470{}20110701 033603{}d{}36184333
1003689{}347643{}20110701 033801{}d{}36122109
1000823{}345863{}20110701 033816{}d{}36172758
1007976{}350885{}20110701 033821{}d{}36211696
1000540{}345661{}20110701 033852{}v{}361
1008402{}351259{}20110701 033912{}d{}36233248
1009400{}352060{}20110701 034009{}d{}36227897
1002342{}346766{}20110701 034027{}v{}361538
1002065{}346766{}20110701 034045{}v{}361538
1010098{}352632{}20110701 034239{}d{}36272023
1006739{}349918{}20110701 034350{}d{}36186607
1000684{}345745{}20110701 034413{}d{}36172759
1010752{}353174{}20110701 034425{}d{}36253967
1003448{}347694{}20110701 034601{}d{}36184969
1010992{}353364{}20110701 034717{}d{}36252442
1010862{}353259{}20110701 034750{}d{}36207982
1007530{}350514{}20110701 034752{}d{}36195779
1007936{}350850{}20110701 034757{}d{}36211696
1009224{}351909{}20110701 034802{}d{}36208197
1010008{}352564{}20110701 034858{}d{}36272045
1008428{}349358{}20110701 034915{}d{}36209818
1010310{}352802{}20110701 035018{}d{}36233226
1009247{}351929{}20110701 035125{}d{}36208169
1009396{}352058{}20110701 035149{}d{}36227897
1007259{}350322{}20110701 035212{}d{}36184139
1007849{}350776{}20110701 035239{}d{}36211694
1001414{}346338{}20110701 035338{}v{}361538
1008760{}351548{}20110701 035446{}d{}36211906
1001009{}346005{}20110701 035715{}d{}36155389
1003371{}347643{}20110701 035917{}d{}36119724
1009142{}351840{}20110701 040012{}d{}36279428
1009229{}351913{}20110701 040520{}d{}36208190
1007357{}350399{}20110701 040537{}d{}36173855
1006143{}349449{}20110701 040538{}d{}36183920
1009759{}352359{}20110701 040543{}d{}36280292
1011028{}353393{}20110701 040603{}d{}36221868
1000634{}345709{}20110701 040611{}d{}36162967
1009856{}351650{}20110701 040629{}d{}36272023
1010472{}352942{}20110701 041024{}d{}36233220
1008018{}350921{}20110701 041103{}d{}36211696
1006740{}349919{}20110701 041127{}d{}36186595
1006051{}349379{}20110701 041213{}d{}36123739
1010607{}353050{}20110701 041238{}d{}36233220
1004741{}348435{}20110701 041316{}d{}36192457
1010138{}352659{}20110701 041452{}d{}36272958
1008321{}351187{}20110701 041541{}d{}36212120
1010946{}353330{}20110701 041559{}d{}36207984
1010140{}352661{}20110701 041608{}d{}36272967
1005799{}349197{}20110701 041647{}d{}36183806
1005586{}349041{}20110701 041713{}d{}36151535
1006665{}349868{}20110701 041735{}d{}36186606
1008061{}350955{}20110701 041741{}d{}36211695
1010704{}353132{}20110701 041757{}d{}36295625
1007311{}350363{}20110701 041855{}d{}36127163
1002066{}346767{}20110701 041914{}v{}361538
1004597{}348338{}20110701 042057{}d{}36192458
1009748{}352351{}20110701 042111{}d{}36280293
1001084{}346068{}20110701 042121{}v{}361538
1007216{}350292{}20110701 042326{}d{}36184138
1008405{}351262{}20110701 042427{}d{}36233248
1009840{}352430{}20110701 042449{}d{}36272969
1010455{}352927{}20110701 042451{}d{}36233220
1005050{}348661{}20110701 042503{}d{}36177742
1008395{}351136{}20110701 042530{}d{}36233250
1006055{}349383{}20110701 042645{}d{}36123739
1003490{}347726{}20110701 042743{}d{}36197489
1010778{}351136{}20110701 042743{}d{}36233254
1010785{}351262{}20110701 042814{}d{}36232884
1007217{}350293{}20110701 042836{}d{}36184137
1008586{}351407{}20110701 042842{}v{}362513
1008263{}351136{}20110701 043002{}d{}36233246
1006741{}349920{}20110701 043018{}d{}36186608
1009401{}352061{}20110701 043033{}d{}36227897
1000910{}345923{}20110701 043041{}v{}36168
1000917{}345923{}20110701 043103{}v{}36168
1011075{}353439{}20110701 043106{}d{}36227687
1008605{}351420{}20110701 043239{}v{}362513
1001741{}346573{}20110701 043302{}v{}361538
1004399{}348184{}20110701 043332{}d{}36166531
1001415{}346339{}20110701 043333{}v{}361538
1000824{}345864{}20110701 043428{}d{}36172759
1010146{}352665{}20110701 043455{}d{}36272959
1010549{}353004{}20110701 043456{}d{}36295042
1004433{}348184{}20110701 043506{}d{}36166531
1004316{}348147{}20110701 043602{}d{}36151157
1002345{}346947{}20110701 043640{}v{}361538
1010736{}353161{}20110701 043831{}d{}36253969
1006415{}349667{}20110701 044037{}d{}36183917
1007179{}350258{}20110701 044037{}d{}36184137
1004907{}348551{}20110701 044045{}d{}36150296
1009922{}352497{}20110701 044252{}d{}36272025
1002346{}346339{}20110701 044256{}v{}361538
1009430{}352085{}20110701 044320{}d{}36227897
1004677{}348398{}20110701 044356{}d{}36192458
1010171{}352684{}20110701 044436{}d{}36233925
1008897{}351650{}20110701 044549{}d{}36270987
1009667{}352279{}20110701 044612{}d{}36280301
1000954{}345958{}20110701 044644{}d{}36155388
1005197{}348763{}20110701 044741{}d{}36192713
1005237{}348793{}20110701 044916{}d{}36192714
1006047{}349375{}20110701 044927{}d{}36123739
1001416{}346069{}20110701 045101{}v{}361538
1009693{}352303{}20110701 045103{}d{}36280294
1001085{}346069{}20110701 045137{}v{}361538
1009827{}352417{}20110701 045137{}d{}36272957
1005550{}349016{}20110701 045144{}d{}36151535
1004506{}348273{}20110701 045310{}d{}36178950
1002790{}347207{}20110701 045449{}d{}36107287
1004715{}348422{}20110701 045527{}d{}36192458
1008084{}350976{}20110701 045529{}d{}36211694
1010570{}352807{}20110701 045627{}d{}36233220
1003263{}347470{}20110701 045734{}d{}36124200
1008911{}351658{}20110701 045822{}d{}36270988
1007916{}350834{}20110701 045913{}d{}36211694
1001417{}346340{}20110701 045925{}v{}361538
1003767{}347207{}20110701 050001{}d{}36122110
1004598{}348339{}20110701 050034{}d{}36192457
1007744{}350683{}20110701 050034{}d{}36211694
1004638{}348369{}20110701 050102{}d{}36192458
1005198{}348763{}20110701 050127{}d{}36195671
1008200{}351080{}20110701 050157{}d{}36215651
1010316{}352807{}20110701 050224{}d{}36233224
1004206{}348091{}20110701 050301{}d{}36109868
1010463{}352933{}20110701 050401{}d{}36233221
1007131{}350217{}20110701 050455{}d{}36184137
1010900{}353290{}20110701 050555{}d{}36207983
1008747{}351535{}20110701 050740{}d{}36210589
1003133{}347470{}20110701 050747{}d{}36107286
1004900{}348547{}20110701 050856{}d{}36175796
1009807{}352399{}20110701 050914{}d{}36247713
1009570{}352199{}20110701 050915{}d{}36280293
1009862{}352448{}20110701 050936{}d{}36272959
1007885{}350808{}20110701 050947{}d{}36211694
1009298{}351973{}20110701 051007{}d{}36227755
1010990{}353362{}20110701 051052{}d{}36254592
1006076{}349402{}20110701 051220{}d{}36123741
1005665{}349092{}20110701 051239{}d{}36175316
1007260{}350323{}20110701 051343{}d{}36184139
1001742{}346574{}20110701 051402{}v{}361538
1004742{}348436{}20110701 051410{}d{}36192458
1007132{}350218{}20110701 051445{}d{}36184137
1002067{}346768{}20110701 051505{}v{}361538
1007486{}350455{}20110701 051523{}d{}36195770
1007443{}350455{}20110701 051530{}d{}36195770
1003524{}347748{}20110701 051929{}d{}36149844
1000371{}345573{}20110701 052028{}v{}36109
1006837{}349987{}20110701 052043{}d{}36194656
1000659{}345725{}20110701 052253{}v{}361402
1003411{}347666{}20110701 052340{}d{}36174174
1005739{}349149{}20110701 052410{}d{}36176468
1004782{}348460{}20110701 052512{}d{}36198096
1009876{}352456{}20110701 052531{}d{}36272024
1008778{}351564{}20110701 052614{}d{}36256305
1005447{}348929{}20110701 052626{}d{}36199708
1005696{}349116{}20110701 052713{}d{}36176469
1001743{}346072{}20110701 052716{}v{}361538
1001744{}346072{}20110701 052750{}v{}361538
1004434{}348217{}20110701 052817{}d{}36178950
1008744{}351532{}20110701 052855{}d{}36210588
1001086{}346070{}20110701 052942{}v{}361538
1002347{}346071{}20110701 053017{}v{}361538
1005173{}348745{}20110701 053054{}d{}36174571
1001087{}346071{}20110701 053059{}v{}361538
1010542{}352798{}20110701 053122{}d{}36233220
1001418{}346341{}20110701 053137{}v{}361538
1010305{}352798{}20110701 053153{}d{}36233224
1008659{}351461{}20110701 053155{}d{}36200767
1007842{}350770{}20110701 053156{}d{}36211695
1002348{}346341{}20110701 053231{}v{}361538
1007793{}350727{}20110701 053234{}d{}36211695
1010408{}352887{}20110701 053245{}d{}36233221
1001088{}346072{}20110701 053302{}v{}361538
1009333{}352005{}20110701 053307{}d{}36227897
1010239{}352742{}20110701 053348{}d{}36234159
1009710{}352317{}20110701 053410{}d{}36280292
1005279{}348817{}20110701 053419{}d{}36179533
1006941{}350066{}20110701 053448{}d{}36194642
1010853{}353250{}20110701 053603{}d{}36207982
1002349{}346073{}20110701 053626{}v{}361538
1001089{}346073{}20110701 053628{}v{}361538
1005098{}348692{}20110701 053642{}d{}36177742
1006424{}349674{}20110701 053721{}d{}36183915
1010375{}352857{}20110701 053730{}d{}36233220
1009362{}351989{}20110701 053757{}d{}36227895
1000797{}345843{}20110701 053817{}d{}36172760
1008773{}351560{}20110701 053818{}d{}36256304
1003486{}347722{}20110701 053834{}d{}36197489
1007010{}350121{}20110701 053903{}d{}36194632
1009726{}352332{}20110701 054020{}d{}36280292
1008204{}351084{}20110701 054045{}d{}36215651
1009914{}352490{}20110701 054053{}d{}36233216
1004816{}348485{}20110701 054058{}d{}36198098
1007396{}349550{}20110701 054109{}d{}36195778
1006264{}349550{}20110701 054132{}d{}36195273
1000798{}345844{}20110701 054144{}d{}36172760
1002068{}346769{}20110701 054158{}v{}361538
1004959{}348601{}20110701 054203{}d{}36177743
1003940{}347956{}20110701 054224{}d{}36122108
1009561{}352057{}20110701 054318{}d{}36280300
1003768{}347880{}20110701 054429{}d{}36122108
1003941{}347957{}20110701 054431{}d{}36122108
1006350{}349619{}20110701 054530{}d{}36184332
1001419{}346342{}20110701 054548{}v{}361538
1005213{}348777{}20110701 054548{}d{}36195671
1002350{}346342{}20110701 054602{}v{}361538
1006154{}349460{}20110701 054604{}d{}36182710
1009395{}352057{}20110701 054630{}d{}36243940
1009316{}351989{}20110701 054651{}d{}36227895
1002690{}347119{}20110701 054659{}d{}36107287
1001420{}346343{}20110701 054712{}v{}361538
1001090{}346074{}20110701 054720{}v{}361538
1010724{}353150{}20110701 054729{}d{}36253968
